Player,Team,No,Pos,Ht,Wt,Birthdate,Country,Exp,College,Salary,Age,G,GS,MP,FG,FGA,FG_pct,ThrP,ThrPA,ThrP_pct,TwoP,TwoPA,TwoP_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS_pct,ThrPA_rate,FT_rate,ORB_pct,DRB_pct,TRB_pct,AST_pct,STL_pct,BLK_pct,TOV_pct,USG_pct,OWS,DWS,WS,WS_48,OBPM,DBPM,BPM,VORP
Al Jefferson,IND,7,C,6.83,289,January 4 1985,us,12,,10230179,32,66,1,931,235,471,0.499,0,1,0.0,235,470,0.5,0.499,65,85,0.765,75,203,278,57,19,16,33,125,535,18.9,0.526,0.002,0.18,9.2,24.2,16.8,11.0,1.0,1.5,6.1,26.1,1.2,1.1,2.3,0.119,-1.5,-1.5,-3.1,-0.2
C.J. Miles,IND,0,SF,6.5,225,April 18 1987,us,11,,4583450,29,76,29,1776,281,647,0.434,169,409,0.413,112,238,0.471,0.565,84,93,0.903,30,199,229,48,46,25,40,151,815,13.8,0.592,0.632,0.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,2.7,1.4,4.0,0.109,1.6,-2.1,-0.5,0.7
Georges Niang,IND,32,PF,6.67,230,June 17 1993,us,0,Iowa State University,650000,23,23,0,93,9,36,0.25,1,12,0.083,8,24,0.333,0.264,2,2,1.0,2,15,17,5,3,0,5,6,21,0.1,0.285,0.333,0.056,2.4,17.9,10.3,7.5,1.6,0.0,11.9,20.2,-0.4,0.1,-0.3,-0.168,-9.9,-2.2,-12.0,-0.2
Glenn Robinson,IND,40,SF,6.5,222,January 8 1994,us,2,University of Michigan,1050500,23,69,27,1427,158,338,0.467,49,125,0.392,109,213,0.512,0.54,54,76,0.711,57,189,246,47,41,20,37,63,419,11.5,0.564,0.37,0.225,4.5,14.7,9.7,4.7,1.4,1.2,9.1,12.8,1.3,1.2,2.5,0.085,-1.2,-0.2,-1.3,0.2
Kevin Seraphin,IND,1,PF,6.75,285,December 7 1989,gf,6,,1800000,27,49,3,559,109,198,0.551,0,2,0.0,109,196,0.556,0.551,14,22,0.636,41,101,142,23,7,20,29,66,232,14.4,0.559,0.01,0.111,8.3,20.0,14.3,6.7,0.6,3.1,12.3,19.0,0.4,0.6,1.0,0.082,-3.1,-0.5,-3.6,-0.2
Lance Stephenson,IND,6,SG,6.42,230,September 5 1990,us,6,University of Cincinnati,4000000,26,6,0,132,18,44,0.409,5,8,0.625,13,36,0.361,0.466,2,3,0.667,1,23,24,25,3,2,11,12,43,10.3,0.474,0.182,0.068,0.9,19.3,10.2,28.1,1.1,1.3,19.5,19.1,-0.1,0.1,0.0,0.012,-4.0,-0.2,-4.2,-0.1
Rodney Stuckey,IND,2,PG,6.42,210,April 21 1986,us,9,Eastern Washington University,7000000,30,39,0,696,91,244,0.373,19,60,0.317,72,184,0.391,0.412,80,107,0.748,6,78,84,84,16,0,53,44,281,9.5,0.483,0.246,0.439,1.0,12.4,6.8,17.7,1.2,0.0,15.4,22.2,-0.5,0.4,-0.1,-0.006,-3.8,-2.2,-6.0,-0.7
Jeff Teague,IND,44,PG,6.17,186,June 10 1988,us,7,Wake Forest University,8800000,28,82,82,2657,402,909,0.442,90,252,0.357,312,657,0.475,0.492,360,415,0.867,33,297,330,639,100,32,216,165,1254,19.2,0.574,0.277,0.457,1.4,12.4,7.0,36.4,1.9,1.1,16.5,22.1,5.7,2.4,8.1,0.146,2.4,-0.5,1.9,2.6
Myles Turner,IND,33,C,6.92,243,March 24 1996,us,1,University of Texas at Austin,2463840,20,81,81,2541,444,869,0.511,40,115,0.348,404,754,0.536,0.534,245,303,0.809,139,450,589,106,74,172,105,262,1173,18.5,0.585,0.132,0.349,6.2,19.6,13.0,6.6,1.5,5.9,9.5,19.5,4.3,3.7,8.0,0.151,-0.3,2.6,2.4,2.8
Joe Young,IND,3,PG,6.17,180,June 27 1992,us,1,University of Houston,1052342,24,33,0,135,26,72,0.361,5,23,0.217,21,49,0.429,0.396,11,15,0.733,1,16,17,15,4,0,5,5,68,11.4,0.433,0.319,0.208,0.8,13.1,7.1,18.0,1.5,0.0,6.0,27.8,-0.2,0.1,-0.1,-0.022,-3.5,-3.8,-7.3,-0.2
Thaddeus Young,IND,21,PF,6.67,221,June 21 1988,us,9,Georgia Institute of Technology,14153652,28,74,74,2237,362,687,0.527,45,118,0.381,317,569,0.557,0.56,45,86,0.523,131,317,448,122,113,29,95,135,814,14.9,0.562,0.172,0.125,6.7,15.7,11.2,8.4,2.5,1.1,11.6,16.4,2.0,2.7,4.6,0.1,0.0,1.4,1.4,1.9
Luke Babbitt,MIA,5,SF,6.75,225,June 20 1989,us,6,University of Nevada Reno,1227000,27,68,55,1065,113,281,0.402,87,210,0.414,26,71,0.366,0.557,11,15,0.733,12,129,141,36,20,11,25,118,324,8.3,0.563,0.747,0.053,1.2,13.5,7.3,4.8,0.9,0.8,8.0,13.0,0.8,1.0,1.8,0.081,-1.1,-0.9,-1.9,0.0
Goran Dragic,MIA,7,PG,6.25,190,May 6 1986,si,8,,15890000,30,73,73,2459,534,1124,0.475,117,289,0.405,417,835,0.499,0.527,298,377,0.79,62,217,279,423,89,13,212,199,1483,19.8,0.575,0.257,0.335,2.8,9.9,6.3,29.0,1.8,0.4,14.1,27.1,5.0,2.6,7.5,0.147,3.4,-0.7,2.7,2.9
Wayne Ellington,MIA,2,SG,6.33,200,October 29 1987,us,7,University of North Carolina,6000000,29,62,13,1500,231,555,0.416,149,394,0.378,82,161,0.509,0.55,37,43,0.86,18,114,132,70,35,4,30,70,648,12.6,0.565,0.71,0.077,1.3,8.5,4.9,7.1,1.2,0.2,5.0,17.9,2.1,1.2,3.3,0.105,1.8,-1.9,-0.2,0.7
Udonis Haslem,MIA,40,C,6.67,235,June 9 1980,us,13,University of Florida,4000000,36,16,0,130,11,23,0.478,0,3,0.0,11,20,0.55,0.478,9,15,0.6,8,28,36,6,6,1,8,22,31,8.8,0.524,0.13,0.652,6.7,24.1,15.3,6.4,2.3,0.6,21.3,12.8,0.0,0.2,0.2,0.074,-4.7,1.5,-3.2,0.0
James Johnson,MIA,16,PF,6.75,250,February 20 1987,us,7,Wake Forest University,4000000,29,76,5,2085,368,769,0.479,87,256,0.34,281,513,0.548,0.535,152,215,0.707,66,310,376,276,76,86,171,197,975,17.0,0.564,0.333,0.28,3.5,16.6,10.0,20.9,1.8,3.2,16.5,22.0,1.9,3.2,5.1,0.117,0.5,2.3,2.8,2.5
Tyler Johnson,MIA,8,PG,6.33,186,May 7 1992,us,2,California State University Fresno,5628000,24,73,0,2178,357,824,0.433,93,250,0.372,264,574,0.46,0.49,195,254,0.768,50,243,293,233,84,44,90,176,1002,15.9,0.535,0.303,0.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,3.1,2.7,5.8,0.128,0.7,0.8,1.5,1.9
Rodney McGruder,MIA,17,SG,6.33,205,July 29 1991,us,0,Kansas State University,543471,25,78,65,1966,190,460,0.413,73,220,0.332,117,240,0.488,0.492,44,71,0.62,94,162,256,124,46,18,56,140,497,9.1,0.506,0.478,0.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,0.072,-0.8,0.5,-0.4,0.8
Josh McRoberts,MIA,4,PF,6.83,240,February 28 1987,us,9,Duke University,5782450,29,22,14,381,44,118,0.373,13,31,0.419,31,87,0.356,0.428,6,9,0.667,23,51,74,50,10,4,23,31,107,9.8,0.439,0.263,0.076,6.6,15.0,10.7,18.9,1.3,0.8,15.9,16.9,-0.1,0.4,0.3,0.036,-2.9,0.6,-2.4,0.0
Willie Reed,MIA,35,C,6.83,220,May 16 1990,us,1,Saint Louis University,1015696,26,71,5,1031,162,285,0.568,1,4,0.25,161,281,0.573,0.57,49,88,0.557,129,203,332,26,18,47,31,137,374,17.1,0.578,0.014,0.309,13.7,22.0,17.8,3.9,0.9,3.6,8.7,15.3,2.1,1.5,3.6,0.168,-1.3,0.7,-0.6,0.4
Josh Richardson,MIA,0,SG,6.5,200,September 15 1993,us,1,University of Tennessee,874636,23,53,34,1614,202,513,0.394,75,227,0.33,127,286,0.444,0.467,60,77,0.779,35,133,168,140,60,39,65,132,539,10.7,0.493,0.442,0.15,2.4,9.2,5.8,12.7,1.9,1.9,10.6,16.8,0.3,1.9,2.2,0.066,-1.0,1.1,0.2,0.9
Dion Waiters,MIA,11,SG,6.33,225,December 10 1991,us,4,Syracuse University,2898000,25,46,43,1384,281,663,0.424,85,215,0.395,196,448,0.438,0.488,82,127,0.646,18,135,153,200,42,20,103,95,729,14.5,0.507,0.324,0.192,1.4,10.9,6.1,23.8,1.5,1.1,12.5,26.3,0.2,1.5,1.6,0.057,-0.1,-0.8,-0.9,0.4
Okaro White,MIA,15,PF,6.67,204,August 13 1992,us,0,Florida State University,374933,24,35,0,471,33,87,0.379,12,34,0.353,21,53,0.396,0.448,20,22,0.909,25,57,82,21,10,10,18,52,98,7.5,0.507,0.391,0.253,5.8,13.5,9.6,6.0,1.1,1.7,15.7,10.8,0.1,0.5,0.6,0.066,-3.1,1.0,-2.1,0.0
Hassan Whiteside,MIA,21,C,7.0,265,June 13 1989,us,4,Marshall University,22116750,27,77,77,2513,542,973,0.557,0,0,,542,973,0.557,0.557,225,358,0.628,293,795,1088,57,57,161,154,226,1309,22.6,0.579,0.0,0.368,12.8,35.3,24.0,3.8,1.1,5.0,12.0,22.7,4.2,5.3,9.5,0.181,-2.0,1.5,-0.5,0.9
Derrick Williams,MIA,22,PF,6.67,240,May 25 1991,us,5,University of Arizona,4598000,25,25,11,377,54,137,0.394,9,45,0.2,45,92,0.489,0.427,31,50,0.62,16,57,73,14,9,5,14,33,148,10.1,0.465,0.328,0.365,4.7,16.9,10.7,5.6,1.2,1.0,8.1,20.4,-0.1,0.4,0.3,0.038,-3.8,-1.4,-5.2,-0.3
Justise Winslow,MIA,20,SF,6.58,225,March 26 1996,us,1,Duke University,2593440,20,18,15,625,80,225,0.356,7,35,0.2,73,190,0.384,0.371,29,47,0.617,23,71,94,66,26,6,33,52,196,8.2,0.399,0.156,0.209,4.0,12.7,8.3,15.5,2.1,0.8,11.8,19.8,-0.9,0.8,-0.1,-0.009,-4.0,1.2,-2.8,-0.1
Giannis Antetokounmpo,MIL,34,SF,6.92,222,December 6 1994,gr,3,,2995421,22,80,80,2845,656,1259,0.521,49,180,0.272,607,1079,0.563,0.541,471,612,0.77,142,558,700,434,131,151,234,246,1832,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.1,3.5,7.6,6.9
Michael Beasley,MIL,9,PF,6.75,235,January 9 1989,us,8,Kansas State University,1403611,28,56,6,935,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,27,27,66,92,528,17.8,0.584,0.106,0.259,5.0,18.9,12.0,9.9,1.5,2.5,12.7,25.3,0.8,1.0,1.8,0.092,-1.7,-1.1,-2.9,-0.2
Malcolm Brogdon,MIL,13,SG,6.42,215,December 11 1992,us,0,University of Virginia,925000,24,75,28,1982,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767,14.9,0.555,0.304,0.198,2.8,9.6,6.3,24.3,2.2,0.5,14.1,18.5,2.6,1.5,4.1,0.1,0.6,-1.1,-0.5,0.8
Matthew Dellavedova,MIL,8,PG,6.33,198,September 8 1990,au,3,Saint Mary's College of California,9607500,26,76,54,1986,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577,9.4,0.501,0.403,0.18,1.4,7.1,4.3,25.7,1.4,0.0,18.8,16.3,0.3,0.9,1.2,0.029,-1.9,-2.8,-4.7,-1.4
Spencer Hawes,MIL,0,PF,7.08,245,April 28 1988,us,9,University of Washington,6348759,28,19,0,171,30,59,0.508,9,26,0.346,21,33,0.636,0.585,14,18,0.778,6,39,45,19,2,4,9,16,83,18.6,0.62,0.441,0.305,4.1,26.3,15.3,17.7,0.6,2.1,11.9,20.3,0.4,0.2,0.6,0.16,1.0,-1.0,0.0,0.1
John Henson,MIL,31,C,6.92,229,December 28 1990,us,4,University of North Carolina,12517606,26,58,39,1123,159,309,0.515,0,1,0.0,159,308,0.516,0.515,74,107,0.692,92,203,295,57,29,78,52,151,392,15.3,0.55,0.003,0.346,9.6,20.8,15.3,7.7,1.3,6.1,12.7,16.6,1.2,1.6,2.7,0.116,-2.5,2.5,-0.1,0.6
Terrence Jones,MIL,6,PF,6.75,252,January 9 1992,us,4,University of Kentucky,236457,25,3,0,6,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,0,3,3,0,1,1,0,0,0,1.5,0.0,0.0,0.0,0.0,57.6,29.1,0.0,8.5,14.7,0.0,22.8,-0.1,0.0,0.0,-0.312,-26.7,6.6,-20.1,0.0
Thon Maker,MIL,7,C,7.08,216,February 25 1997,ss,0,,2568600,19,57,34,562,83,181,0.459,28,74,0.378,55,107,0.514,0.536,32,49,0.653,40,74,114,23,10,26,17,84,226,14.0,0.558,0.409,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.8,0.5,1.3,0.113,-0.5,-1.0,-1.5,0.1
Khris Middleton,MIL,22,SF,6.67,234,August 12 1991,us,4,Texas A&amp;M; University,15200000,25,29,23,889,150,333,0.45,45,104,0.433,105,229,0.459,0.518,81,92,0.88,11,112,123,99,41,7,65,79,426,15.0,0.57,0.312,0.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,0.7,0.9,1.6,0.085,0.0,-0.6,-0.5,0.3
Greg Monroe,MIL,15,C,6.92,265,June 4 1990,us,6,Georgetown University,17100000,26,81,0,1823,387,726,0.533,0,4,0.0,387,722,0.536,0.533,177,239,0.741,167,365,532,187,92,38,140,168,951,21.1,0.572,0.006,0.329,10.8,23.1,17.0,17.3,2.6,1.8,14.4,24.3,3.0,2.6,5.6,0.147,0.5,1.5,2.0,1.9
Steve Novak,MIL,6,PF,6.83,225,June 13 1983,us,10,Marquette University,1551659,33,8,0,22,2,7,0.286,1,6,0.167,1,1,1.0,0.357,0,0,,0,3,3,0,0,0,0,1,5,1.3,0.357,0.857,0.0,0.0,15.7,7.9,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,-0.075,-6.9,-6.7,-13.6,-0.1
Jabari Parker,MIL,12,PF,6.67,250,March 15 1995,us,2,Duke University,5374320,21,51,50,1728,399,814,0.49,65,178,0.365,334,636,0.525,0.53,162,218,0.743,79,235,314,142,50,22,93,111,1025,19.1,0.563,0.219,0.268,5.4,15.7,10.6,14.3,1.5,1.1,9.3,26.5,2.6,1.5,4.0,0.112,1.5,-1.3,0.2,1.0
Gary Payton,MIL,0,PG,6.25,190,December 1 1992,us,0,Oregon State University,35166,24,6,0,99,8,22,0.364,1,9,0.111,7,13,0.538,0.386,3,5,0.6,0,12,12,13,3,4,10,9,20,4.5,0.413,0.409,0.227,0.0,14.0,7.1,18.1,1.5,3.6,29.2,15.8,-0.3,0.1,-0.2,-0.074,-7.3,0.6,-6.7,-0.1
Miles Plumlee,MIL,18,C,6.92,249,September 1 1988,us,4,Duke University,12500000,28,32,12,310,30,68,0.441,0,0,,30,68,0.441,0.441,22,35,0.629,23,30,53,18,11,9,22,48,82,8.0,0.492,0.0,0.515,8.7,11.1,10.0,8.2,1.8,2.6,20.9,15.5,-0.2,0.3,0.1,0.021,-4.6,0.4,-4.2,-0.2
Tony Snell,MIL,21,SG,6.58,200,November 10 1991,us,3,University of New Mexico,2368327,25,80,80,2336,246,541,0.455,144,355,0.406,102,186,0.548,0.588,47,58,0.81,22,226,248,96,55,14,55,125,683,9.7,0.603,0.656,0.107,1.1,11.1,6.2,5.9,1.2,0.5,8.8,12.1,2.1,1.3,3.4,0.071,0.2,-1.1,-0.8,0.7
Mirza Teletovic,MIL,35,PF,6.75,242,September 18 1985,ba,4,,10500000,31,70,2,1133,156,418,0.373,104,305,0.341,52,113,0.46,0.498,35,45,0.778,11,151,162,48,12,13,37,109,451,8.8,0.515,0.73,0.108,1.1,15.4,8.3,6.4,0.5,1.0,7.8,19.1,-0.1,0.7,0.6,0.025,-1.5,-3.4,-4.9,-0.8
Jason Terry,MIL,3,SG,6.17,185,September 15 1977,us,17,University of Arizona,1551659,39,74,0,1365,105,243,0.432,73,171,0.427,32,72,0.444,0.582,24,29,0.828,15,91,106,98,46,20,36,95,307,9.1,0.6,0.704,0.119,1.3,7.7,4.5,9.9,1.7,1.3,12.3,9.8,1.2,0.9,2.1,0.075,-0.5,-0.6,-1.1,0.3
Axel Toupane,MIL,6,SF,6.58,197,July 23 1992,fr,1,,51449,24,2,0,6,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,1,0,-9.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,-0.191,-9.2,-3.5,-12.7,0.0
Rashad Vaughn,MIL,20,SG,6.5,202,August 16 1996,us,1,University of Nevada Las Vegas,1811040,20,41,2,458,57,156,0.365,26,81,0.321,31,75,0.413,0.449,2,5,0.4,4,45,49,23,19,10,14,32,142,7.8,0.449,0.519,0.032,1.0,11.3,6.2,7.4,2.1,1.9,8.1,17.2,-0.5,0.4,0.0,-0.005,-3.7,-1.2,-4.9,-0.3
Bradley Beal,WAS,3,SG,6.42,207,June 28 1993,us,4,University of Florida,22116750,23,77,77,2684,637,1322,0.482,223,552,0.404,414,770,0.538,0.566,282,342,0.825,53,187,240,267,83,21,156,169,1779,20.1,0.604,0.418,0.259,2.2,7.8,5.0,16.2,1.5,0.7,9.6,26.5,6.9,1.6,8.5,0.152,4.5,-2.3,2.2,2.8
Bojan Bogdanovic,WAS,44,SF,6.67,216,April 18 1989,ba,2,,3730653,27,26,0,601,107,234,0.457,45,115,0.391,62,119,0.521,0.553,71,76,0.934,14,66,80,21,10,4,38,47,330,14.7,0.617,0.491,0.325,2.6,12.3,7.5,5.2,0.8,0.6,12.4,22.2,0.9,0.3,1.3,0.103,0.6,-3.1,-2.6,-0.1
Trey Burke,WAS,33,PG,6.08,191,November 12 1992,us,3,University of Michigan,3386598,24,57,0,703,116,255,0.455,31,70,0.443,85,185,0.459,0.516,22,29,0.759,7,40,47,100,11,5,48,54,285,10.8,0.532,0.275,0.114,1.1,6.4,3.8,20.7,0.8,0.6,15.2,19.6,0.3,0.3,0.5,0.036,-2.3,-3.4,-5.7,-0.7
Marcin Gortat,WAS,13,C,6.92,240,February 17 1984,pl,9,,12000000,32,82,82,2556,390,674,0.579,0,2,0.0,390,672,0.58,0.579,103,159,0.648,238,611,849,121,40,61,119,213,883,15.4,0.593,0.003,0.236,10.6,26.8,18.7,6.8,0.8,2.0,13.8,14.7,3.9,2.9,6.8,0.127,-0.9,1.2,0.3,1.5
Danuel House,WAS,4,SG,6.58,207,June 7 1993,us,0,Texas A&amp;M; University,543471,23,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,12.2,,,,0.0,100.0,56.4,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.163,-16.4,-4.4,-20.8,0.0
Brandon Jennings,WAS,7,PG,6.08,170,September 23 1989,us,7,,1200000,27,23,2,374,29,106,0.274,11,52,0.212,18,54,0.333,0.325,12,17,0.706,8,36,44,108,15,0,22,32,81,9.7,0.357,0.491,0.16,2.4,10.8,6.6,37.2,2.0,0.0,16.2,15.8,-0.1,0.3,0.2,0.025,-2.6,-2.1,-4.7,-0.3
Ian Mahinmi,WAS,28,C,6.92,250,November 5 1986,fr,8,,15944154,30,31,0,555,65,111,0.586,0,0,,65,111,0.586,0.586,43,75,0.573,47,103,150,19,33,24,34,90,173,14.1,0.601,0.0,0.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14.0,0.5,0.9,1.4,0.123,-2.1,2.9,0.8,0.4
Chris McCullough,WAS,1,PF,6.92,200,February 5 1995,us,1,Syracuse University,1191480,21,2,0,8,0,1,0.0,0,1,0.0,0,0,,0.0,1,2,0.5,0,2,2,0,1,0,1,0,1,1.1,0.266,1.0,2.0,0.0,28.1,14.1,0.0,6.2,0.0,34.7,15.7,0.0,0.0,0.0,-0.162,-11.8,0.3,-11.5,0.0
Markieff Morris,WAS,5,PF,6.83,245,September 2 1989,us,5,University of Kansas,7400000,27,76,76,2374,406,889,0.457,71,196,0.362,335,693,0.483,0.497,180,215,0.837,107,386,493,126,82,42,129,254,1063,13.7,0.54,0.22,0.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5,1.6,2.5,4.1,0.083,-1.3,0.3,-1.0,0.6
Daniel Ochefu,WAS,32,C,6.92,245,December 15 1993,us,0,Villanova University,543471,23,19,0,75,12,27,0.444,0,0,,12,27,0.444,0.444,0,2,0.0,5,17,22,3,2,0,3,17,24,6.6,0.43,0.0,0.074,7.6,25.4,16.5,5.8,1.3,0.0,9.7,18.0,-0.1,0.1,0.0,0.005,-6.5,-1.9,-8.4,-0.1
Kelly Oubre,WAS,12,SF,6.58,205,December 9 1995,us,1,University of Kansas,2006640,21,79,5,1605,186,442,0.421,54,188,0.287,132,254,0.52,0.482,75,99,0.758,61,200,261,47,58,17,50,195,501,9.1,0.516,0.425,0.224,4.3,14.0,9.2,4.0,1.8,0.9,9.3,14.6,0.6,1.5,2.0,0.061,-1.8,-0.5,-2.3,-0.1
Otto Porter,WAS,22,SF,6.67,198,June 3 1993,us,3,Georgetown University,5893981,23,80,80,2605,414,803,0.516,148,341,0.434,266,462,0.576,0.608,99,119,0.832,118,396,514,121,116,42,44,193,1075,17.3,0.628,0.425,0.148,5.1,17.1,11.1,6.7,2.2,1.3,4.9,15.1,6.4,3.0,9.4,0.173,3.0,0.9,3.9,3.9
Tomas Satoransky,WAS,31,SG,6.58,210,October 30 1991,cz,0,,2870813,25,57,3,719,61,147,0.415,9,37,0.243,52,110,0.473,0.446,23,33,0.697,25,58,83,92,26,6,38,60,154,8.5,0.477,0.252,0.224,3.9,9.1,6.5,16.7,1.8,0.7,19.0,12.1,0.1,0.5,0.6,0.04,-2.9,-0.2,-3.1,-0.2
Jason Smith,WAS,14,C,7.0,245,March 2 1986,us,8,Colorado State University,5000000,30,74,3,1068,174,329,0.529,37,78,0.474,137,251,0.546,0.585,35,51,0.686,64,194,258,37,21,54,58,168,420,13.6,0.598,0.237,0.155,6.8,20.4,13.6,5.0,1.0,4.2,14.2,16.7,1.0,1.3,2.3,0.103,-2.0,0.6,-1.4,0.2
John Wall,WAS,2,PG,6.33,195,September 6 1990,us,6,University of Kentucky,16957900,26,78,78,2836,647,1435,0.451,89,272,0.327,558,1163,0.48,0.482,422,527,0.801,59,267,326,831,157,49,322,151,1805,23.2,0.541,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3.0,8.8,0.149,3.8,0.2,4.1,4.3
Aron Baynes,DET,12,C,6.83,260,December 9 1986,nz,4,Washington State University,6500000,30,75,2,1163,143,279,0.513,0,0,,143,279,0.513,0.513,79,94,0.84,111,222,333,32,17,39,50,166,365,13.1,0.57,0.0,0.337,10.0,21.6,15.6,3.9,0.7,2.8,13.5,14.1,1.4,1.5,3.0,0.123,-2.9,1.1,-1.8,0.1
Reggie Bullock,DET,25,SF,6.58,205,March 16 1991,us,3,University of North Carolina,2255644,25,31,5,467,54,128,0.422,28,73,0.384,26,55,0.473,0.531,5,7,0.714,13,51,64,29,18,3,10,22,141,11.7,0.538,0.57,0.055,2.9,12.4,7.5,8.8,1.9,0.5,7.1,13.4,0.4,0.5,1.0,0.101,-0.4,0.5,0.1,0.2
Kentavious Caldwell-Pope,DET,5,SG,6.42,205,February 18 1993,us,3,University of Georgia,3678319,23,76,75,2529,370,928,0.399,153,437,0.35,217,491,0.442,0.481,154,185,0.832,55,193,248,193,89,12,86,118,1047,12.8,0.519,0.471,0.199,2.3,8.7,5.3,11.2,1.8,0.4,7.9,19.2,2.0,2.5,4.5,0.086,0.9,0.0,0.9,1.8
Andre Drummond,DET,0,C,6.92,279,August 10 1993,us,4,University of Connecticut,22116750,23,81,81,2409,483,911,0.53,2,7,0.286,481,904,0.532,0.531,137,355,0.386,345,770,1115,90,124,89,152,237,1105,20.9,0.518,0.008,0.39,15.1,36.2,25.2,6.0,2.6,3.1,12.5,22.4,1.4,5.3,6.7,0.133,-2.1,2.9,0.9,1.8
Henry Ellenson,DET,8,PF,6.92,245,January 13 1997,us,0,Marquette University,1704120,20,19,2,146,23,64,0.359,10,35,0.286,13,29,0.448,0.438,4,8,0.5,8,33,41,7,1,1,14,6,60,7.5,0.444,0.547,0.125,5.8,25.6,15.3,7.2,0.3,0.6,17.2,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2
Michael Gbinije,DET,9,SG,6.58,200,June 5 1992,us,0,Duke University,650000,24,9,0,32,1,10,0.1,0,4,0.0,1,6,0.167,0.1,2,2,1.0,2,1,3,2,0,0,0,2,4,-2.1,0.184,0.4,0.2,6.6,3.5,5.1,7.9,0.0,0.0,0.0,15.0,-0.1,0.0,-0.1,-0.136,-7.7,-2.8,-10.5,-0.1
Tobias Harris,DET,34,PF,6.75,235,July 15 1992,us,5,University of Tennessee,17200000,24,82,48,2567,511,1063,0.481,109,314,0.347,402,749,0.537,0.532,190,226,0.841,63,353,416,142,60,39,96,133,1321,16.9,0.568,0.295,0.213,2.6,15.6,8.8,8.8,1.2,1.3,7.6,21.7,4.0,2.8,6.8,0.128,1.0,0.1,1.2,2.0
Darrun Hilliard,DET,6,SG,6.5,205,April 13 1993,us,1,Villanova University,874636,23,39,1,381,47,126,0.373,12,46,0.261,35,80,0.438,0.421,21,28,0.75,2,31,33,33,11,2,28,39,127,5.9,0.459,0.365,0.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027,-5.0,-1.1,-6.1,-0.4
Reggie Jackson,DET,1,PG,6.25,208,April 16 1990,it,5,Boston College,14956522,26,52,50,1424,284,677,0.419,66,184,0.359,218,493,0.442,0.468,118,136,0.868,21,93,114,270,35,5,114,129,752,14.9,0.51,0.272,0.201,1.5,7.4,4.4,30.3,1.2,0.3,13.4,26.4,0.8,1.2,1.9,0.065,0.6,-2.0,-1.4,0.2
Stanley Johnson,DET,7,SF,6.58,245,May 29 1996,us,1,University of Arizona,2969880,20,77,1,1371,129,365,0.353,45,154,0.292,84,211,0.398,0.415,36,53,0.679,36,153,189,105,56,24,71,121,339,7.2,0.436,0.422,0.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,0.012,-3.8,1.8,-2.0,0.0
Jon Leuer,DET,30,PF,6.83,228,May 14 1989,us,5,University of Wisconsin,10991957,27,75,34,1944,310,646,0.48,49,167,0.293,261,479,0.545,0.518,98,113,0.867,102,300,402,111,31,26,66,145,767,14.2,0.551,0.259,0.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,2.5,2.0,4.5,0.112,-0.4,0.5,0.1,1.0
Boban Marjanovic,DET,51,C,7.25,290,August 15 1988,rs,1,,7000000,28,35,0,293,72,132,0.545,0,0,,72,132,0.545,0.545,47,58,0.81,46,84,130,9,6,12,10,25,191,29.6,0.606,0.0,0.439,16.5,32.5,24.2,5.3,1.0,3.4,6.0,25.3,1.2,0.5,1.7,0.28,1.0,-0.9,0.1,0.2
